learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,1,0.201,0.881,1,0.812408,0
2,8,4,0.201,0.881,1,0.742889,7
2,8,5,0.201,0.881,1,0.069214,95
2,8,7,0.201,0.881,1,0.576721,53
3,10,1,0.215,0.875,1,0.703613,6
3,10,2,0.215,0.875,1,0.454163,21
3,10,5,0.215,0.875,1,0.916504,67
4,13,7,0.229,0.865,1,0.648132,21
4,13,12,0.229,0.865,1,0.188446,67
5,9,4,0.22,0.871,1,0.529633,21
6,19,11,0.22,0.863,1,0.680084,81
6,19,14,0.22,0.863,1,0.927429,15
6,19,16,0.22,0.863,1,0.045898,42
6,19,17,0.22,0.863,1,0.65979,51
7,8,3,0.209,0.866,1,0.180695,15
7,8,5,0.209,0.866,1,0.656616,69
7,8,6,0.209,0.866,1,0.912903,51
8,10,9,0.223,0.887,1,0.830353,51
9,13,5,0.199,0.871,1,0.687134,51
9,13,7,0.199,0.871,1,0.658691,16
9,13,9,0.199,0.871,1,0.382294,29
9,13,10,0.199,0.871,1,0.033203,21
9,13,12,0.199,0.871,1,0.026886,89
11,2,1,0.194,0.867,1,0.265442,89
12,19,10,0.221,0.877,1,0.1539,43
12,19,12,0.221,0.877,1,0.902222,55
12,19,17,0.221,0.877,1,0.317261,14
13,8,6,0.232,0.87,1,0.871399,55
14,7,5,0.219,0.871,1,0.26413,55
15,15,5,0.218,0.879,1,0.007996,47
15,15,12,0.218,0.879,1,0.753052,93
16,8,5,0.201,0.854,1,0.052856,93
16,8,7,0.201,0.854,1,0.604706,94
17,16,1,0.22,0.885,1,0.693634,81
17,16,13,0.22,0.885,1,0.211639,30
18,10,1,0.213,0.871,1,0.144104,81
18,10,4,0.213,0.871,1,0.767517,35
19,5,1,0.203,0.874,1,0.947906,81
19,5,3,0.203,0.874,1,0.966034,35
20,16,7,0.203,0.875,1,0.356323,81
20,16,10,0.203,0.875,1,0.024536,44
20,16,11,0.203,0.875,1,0.011658,76
20,16,12,0.203,0.875,1,0.329712,93
21,6,0,0.224,0.868,1,0.315948,73
21,6,2,0.224,0.868,1,0.426208,96
21,6,3,0.224,0.868,1,0.233673,13
21,6,4,0.224,0.868,1,0.369415,78
22,11,0,0.213,0.886,1,0.172241,78
22,11,1,0.213,0.886,1,0.526978,38
22,11,6,0.213,0.886,1,0.218597,97
24,12,6,0.204,0.882,1,0.97464,97
24,12,8,0.204,0.882,1,0.12088,65
24,12,10,0.204,0.882,1,0.207886,12
24,12,11,0.204,0.882,1,0.973633,31
25,15,1,0.222,0.878,1,0.32312,31
25,15,4,0.222,0.878,1,0.113831,28
26,20,0,0.21,0.877,1,0.194336,28
26,20,1,0.21,0.877,1,0.050934,32
26,20,2,0.21,0.877,1,0.619507,94
26,20,8,0.21,0.877,1,0.961487,78
26,20,12,0.21,0.877,1,0.979797,10
27,10,2,0.197,0.884,1,0.228607,78
27,10,4,0.197,0.884,1,0.981781,39
27,10,5,0.197,0.884,1,0.411316,6
27,10,6,0.197,0.884,1,0.241364,2
28,20,14,0.222,0.858,1,0.966888,2
28,20,15,0.222,0.858,1,0.291779,27
28,20,16,0.222,0.858,1,0.034088,10
28,20,17,0.222,0.858,1,0.606995,90
28,20,19,0.222,0.858,1,0.351105,83
29,20,2,0.225,0.848,1,0.82135,90
29,20,7,0.225,0.848,1,0.513367,83
29,20,8,0.225,0.848,1,0.444733,99
29,20,12,0.225,0.848,1,0.424957,62
29,20,19,0.225,0.848,1,0.546112,26
30,13,1,0.214,0.883,1,0.838165,26
30,13,2,0.214,0.883,1,0.825226,39
30,13,5,0.214,0.883,1,0.684052,47
30,13,6,0.214,0.883,1,0.599335,81
30,13,8,0.214,0.883,1,0.544861,19
30,13,9,0.214,0.883,1,0.70871,42
30,13,12,0.214,0.883,1,0.829132,22
31,10,0,0.21,0.878,1,0.483002,21
31,10,4,0.21,0.878,1,0.064789,89
31,10,7,0.21,0.878,1,0.137238,7
32,15,3,0.224,0.892,1,0.562225,4
32,15,13,0.224,0.892,1,0.338715,69
32,15,14,0.224,0.892,1,0.34845,23
33,22,0,0.215,0.885,1,0.882202,43
33,22,3,0.215,0.885,1,0.72995,91
33,22,7,0.215,0.885,1,0.226013,58
33,22,13,0.215,0.885,1,0.61496,5
33,22,17,0.215,0.885,1,0.034698,7
33,22,19,0.215,0.885,1,0.47113,99
33,22,21,0.215,0.885,1,0.607269,22
34,3,2,0.204,0.891,1,0.844696,58
35,23,1,0.211,0.883,1,0.811646,30
35,23,2,0.211,0.883,1,0.785431,15
35,23,16,0.211,0.883,1,0.489624,90
36,19,4,0.226,0.864,1,0.130554,11
36,19,13,0.226,0.864,1,0.788147,58
36,19,15,0.226,0.864,1,0.45047,12
36,19,16,0.226,0.864,1,0.378357,4
36,19,18,0.226,0.864,1,0.737823,28
37,9,1,0.204,0.862,1,0.704285,53
37,9,5,0.204,0.862,1,0.481079,28
37,9,8,0.204,0.862,1,0.852112,25
38,27,11,0.186,0.87,1,0.726318,37
38,27,18,0.186,0.87,1,0.123596,91
38,27,19,0.186,0.87,1,0.938293,58
38,27,20,0.186,0.87,1,0.190491,51
38,27,23,0.186,0.87,1,0.894012,98
40,16,1,0.217,0.889,1,0.896057,51
40,16,2,0.217,0.889,1,0.616119,98
40,16,6,0.217,0.889,1,0.334778,77
40,16,7,0.217,0.889,1,0.252106,19
40,16,9,0.217,0.889,1,0.835083,17
40,16,10,0.217,0.889,1,0.006012,85
40,16,12,0.217,0.889,1,0.713257,96
40,16,15,0.217,0.889,1,0.278687,83
41,17,0,0.222,0.866,1,0.7211,96
41,17,5,0.222,0.866,1,0.707611,26
41,17,9,0.222,0.866,1,0.44516,23
41,17,10,0.222,0.866,1,0.812134,46
43,19,2,0.208,0.866,1,0.867218,78
43,19,5,0.208,0.866,1,0.014221,28
43,19,6,0.208,0.866,1,0.452179,60
43,19,7,0.208,0.866,1,0.663727,87
43,19,13,0.208,0.866,1,0.55542,76
44,18,0,0.229,0.874,1,0.553406,45
44,18,3,0.229,0.874,1,0.138062,12
44,18,4,0.229,0.874,1,0.900238,58
44,18,10,0.229,0.874,1,0.601227,87
44,18,13,0.229,0.874,1,0.554352,26
45,23,10,0.212,0.857,1,0.085968,6
45,23,14,0.212,0.857,1,0.546356,36
45,23,17,0.212,0.857,1,0.129395,70
45,23,20,0.212,0.857,1,0.841248,21
46,15,2,0.215,0.874,1,0.711517,92
46,15,11,0.215,0.874,1,0.519989,20
46,15,14,0.215,0.874,1,0.910278,10
47,10,5,0.204,0.889,1,0.27301,10
47,10,7,0.204,0.889,1,0.552704,1
48,11,2,0.235,0.876,1,0.154266,46
48,11,3,0.235,0.876,1,0.269867,97
48,11,5,0.235,0.876,1,0.475433,28
48,11,8,0.235,0.876,1,0.719299,31
49,29,3,0.196,0.879,1,0.595276,69
50,11,1,0.227,0.872,1,0.21347,97
50,11,4,0.227,0.872,1,0.176697,84
50,11,5,0.227,0.872,1,0.425507,17
50,11,7,0.227,0.872,1,0.007904,83
52,16,0,0.214,0.861,1,0.545441,83
52,16,1,0.214,0.861,1,0.315704,85
52,16,14,0.214,0.861,1,0.801453,47
53,21,0,0.213,0.877,1,0.468719,63
53,21,12,0.213,0.877,1,0.59436,42
53,21,13,0.213,0.877,1,0.185577,48
53,21,15,0.213,0.877,1,0.995361,87
53,21,19,0.213,0.877,1,0.407379,76
54,20,0,0.213,0.88,1,0.865295,63
54,20,4,0.213,0.88,1,0.494171,11
54,20,13,0.213,0.88,1,0.341797,29
54,20,18,0.213,0.88,1,0.479889,6
55,20,5,0.214,0.885,1,0.290894,6
55,20,8,0.214,0.885,1,0.87619,93
55,20,14,0.214,0.885,1,0.56842,66
55,20,16,0.214,0.885,1,0.055298,52
55,20,17,0.214,0.885,1,0.377075,63
55,20,18,0.214,0.885,1,0.543701,11
56,12,3,0.225,0.878,1,0.869629,63
56,12,4,0.225,0.878,1,0.314178,1
57,27,1,0.2,0.865,1,0.091003,7
57,27,6,0.2,0.865,1,0.301147,67
57,27,11,0.2,0.865,1,0.889435,18
57,27,15,0.2,0.865,1,0.420776,81
57,27,22,0.2,0.865,1,0.388824,44
58,10,5,0.205,0.87,1,0.970306,76
59,19,1,0.222,0.869,1,0.981049,76
59,19,18,0.222,0.869,1,0.683258,93
60,19,0,0.205,0.864,1,0.221283,76
60,19,6,0.205,0.864,1,0.416016,7
60,19,9,0.205,0.864,1,0.574829,12
60,19,13,0.205,0.864,1,0.054352,45
60,19,15,0.205,0.864,1,0.369751,62
61,9,4,0.234,0.885,1,0.989014,45
62,4,1,0.236,0.884,1,0.56192,45
62,4,3,0.236,0.884,1,0.972351,62
63,14,8,0.217,0.88,1,0.457733,45
63,14,11,0.217,0.88,1,0.849762,62
64,14,3,0.203,0.902,1,0.134888,2
64,14,12,0.203,0.902,1,0.968811,15
65,18,8,0.204,0.878,1,0.39743,15
67,9,6,0.209,0.865,1,0.057892,77
68,17,0,0.222,0.872,1,0.82486,96
68,17,2,0.222,0.872,1,0.600037,11
68,17,3,0.222,0.872,1,0.499756,44
68,17,5,0.222,0.872,1,0.322784,76
68,17,7,0.222,0.872,1,0.040314,95
68,17,8,0.222,0.872,1,0.137817,6
68,17,13,0.222,0.872,1,0.832275,94
68,17,14,0.222,0.872,1,0.309479,71
68,17,15,0.222,0.872,1,0.265747,53
69,19,2,0.226,0.871,1,0.015991,53
69,19,6,0.226,0.871,1,0.931427,61
69,19,7,0.226,0.871,1,0.43512,55
69,19,11,0.226,0.871,1,0.532654,37
69,19,12,0.226,0.871,1,0.374084,78
69,19,14,0.226,0.871,1,0.801086,99
70,13,7,0.212,0.871,1,0.278015,39
71,20,11,0.189,0.874,1,0.12796,87
72,13,0,0.221,0.887,1,0.366028,75
72,13,3,0.221,0.887,1,0.876099,67
72,13,4,0.221,0.887,1,0.018921,71
73,18,1,0.207,0.879,1,0.601837,66
73,18,6,0.207,0.879,1,0.699127,56
73,18,15,0.207,0.879,1,0.152832,83
74,21,8,0.228,0.885,1,0.513367,76
74,21,10,0.228,0.885,1,0.873962,85
74,21,14,0.228,0.885,1,0.19046,15
74,21,20,0.228,0.885,1,0.488251,90
75,1,0,0.223,0.888,1,0.45108,90
76,20,1,0.213,0.869,1,0.034119,90
76,20,2,0.213,0.869,1,0.580261,71
76,20,4,0.213,0.869,1,0.902832,72
76,20,5,0.213,0.869,1,0.134399,20
77,17,8,0.196,0.897,1,0.432587,7
77,17,15,0.196,0.897,1,0.37854,81
78,20,12,0.219,0.868,1,0.503906,81
78,20,17,0.219,0.868,1,0.0177,7
78,20,19,0.219,0.868,1,0.469055,18
79,17,0,0.208,0.874,1,0.940948,7
79,17,5,0.208,0.874,1,0.945038,81
79,17,11,0.208,0.874,1,0.089996,18
79,17,12,0.208,0.874,1,0.321442,19
80,7,1,0.21,0.89,1,0.046936,76
80,7,2,0.21,0.89,1,0.535767,45
81,25,1,0.209,0.869,1,0.886169,45
81,25,7,0.209,0.869,1,0.246826,19
81,25,21,0.209,0.869,1,0.594757,17
81,25,24,0.209,0.869,1,0.32663,76
82,16,7,0.223,0.881,1,0.861145,45
82,16,9,0.223,0.881,1,0.072571,12
82,16,12,0.223,0.881,1,0.546112,31
82,16,15,0.223,0.881,1,0.620026,5
83,18,1,0.218,0.895,1,0.924347,19
83,18,8,0.218,0.895,1,0.383698,5
83,18,14,0.218,0.895,1,0.44519,73
